z,A,R_tilde,K_tilde,det_g
679.6797,0.9796723207,576546963505.9243,2.7856689924826814e+23,-0.0
680.6807,0.9796597512,578976244916.7126,2.809753090655621e+23,-0.0
681.6817,0.979647198,581412142413.8652,2.8340105818928566e+23,-0.0
682.6827,0.979634661,583854664241.9092,2.858442467953918e+23,-0.0
683.6837,0.9796221402,586303818646.0061,2.8830497550004223e+23,-0.0
684.6847,0.9796096355,588759613920.9355,2.9078334536240113e+23,-0.0
685.6857,0.979597147,591222058301.9446,2.9327945788238963e+23,-0.0
686.6867,0.9795846745,593691160063.2349,2.9579341500546654e+23,-0.0
687.6877,0.979572218,596166927473.7595,2.9832531912225575e+23,-0.0
688.6887,0.9795597774,598649368728.2329,3.0087527306783055e+23,-0.0
689.6897,0.9795473529,601138492105.0718,3.0344338012837744e+23,-0.0
690.6907,0.9795349442,603634305906.1409,3.060297440403279e+23,-0.0
691.6917,0.9795225514,606136818357.0114,3.0863446898846134e+23,-0.0
692.6927,0.9795101744,608646037679.6418,3.112576596098313e+23,-0.0
693.6937,0.9794978131,611161972151.5703,3.138994209970909e+23,-0.0
694.6947,0.9794854676,613684630032.7744,3.16559858697278e+23,-0.0
695.6957,0.9794731378,616214019545.3969,3.1923907871262714e+23,-0.0
696.6967,0.9794608237,618750148925.7266,3.219371875037089e+23,-0.0
697.6977,0.9794485252,621293026441.233,3.246542919913991e+23,-0.0
698.6987,0.9794362422,623842660348.5549,3.273904995567289e+23,-0.0
699.6997,0.9794239748,626399058854.4448,3.301459180410083e+23,-0.0
700.7007,0.9794117229,628962230229.795,3.3292065575125396e+23,-0.0
701.7017,0.9793994864,631532182723.9915,3.357148214583347e+23,-0.0
702.7027,0.9793872654,634108924546.7278,3.385285243980374e+23,-0.0
703.7037,0.9793750597,636692463954.234,3.413618742753112e+23,-0.0
704.7047,0.9793628694,639282809157.9397,3.442149812624832e+23,-0.0
705.7057,0.9793506944,641879968403.9495,3.470879560035785e+23,-0.0
706.7067,0.9793385347,644483949967.6249,3.4998090961533494e+23,-0.0
707.7077,0.9793263902,647094762064.9801,3.52893953685562e+23,-0.0
708.7087,0.9793142609,649712412899.4778,3.558272002762849e+23,-0.0
709.7097,0.9793021467,652336910707.3389,3.587807619267505e+23,-0.0
710.7107,0.9792900477,654968263751.9579,3.617547516545865e+23,-0.0
711.7117,0.9792779637,657606480260.3683,3.647492829549086e+23,-0.0
712.7127,0.9792658948,660251568427.3436,3.6776446980200915e+23,-0.0
713.7137,0.9792538409,662903536488.8756,3.708004266534204e+23,-0.0
714.7147,0.979241802,665562392712.8408,3.7385726845090995e+23,-0.0
715.7157,0.9792297779,668228145277.2345,3.7693511061745734e+23,-0.0
716.7167,0.9792177688,670900802411.2057,3.8003406906413e+23,-0.0
717.7177,0.9792057746,673580372390.3613,3.831542601909041e+23,-0.0
718.7187,0.9791937951,676266863378.5023,3.86295800882572e+23,-0.0
719.7197,0.9791818304,678960283595.3745,3.89458808516421e+23,-0.0
720.7207,0.9791698805,681660641309.1716,3.926434009631733e+23,-0.0
721.7217,0.9791579453,684367944740.5759,3.9584969658495946e+23,-0.0
722.7227,0.9791460248,687082202042.2657,3.9907781423603966e+23,-0.0
723.7237,0.9791341189,689803421457.5698,4.0232787327034704e+23,-0.0
724.7247,0.9791222276,692531611271.1119,4.055999935406511e+23,-0.0
725.7257,0.9791103509,695266779621.7855,4.0889429539330286e+23,-0.0
726.7267,0.9790984887,698008934719.9504,4.1221089967801054e+23,-0.0
727.7277,0.979086641,700758084825.2721,4.155499277480815e+23,-0.0
728.7287,0.9790748078,703514238142.671,4.189115014581914e+23,-0.0
729.7297,0.979062989,706277402889.3475,4.222957431683294e+23,-0.0
730.7307,0.9790511846,709047587218.4883,4.25702775742356e+23,-0.0
731.7317,0.9790393946,711824799379.682,4.291327225558188e+23,-0.0
732.7327,0.9790276189,714609047639.076,4.3258570749384914e+23,-0.0
733.7337,0.9790158574,717400340103.275,4.360618549463402e+23,-0.0
734.7347,0.9790041102,720198685008.9928,4.3956128982062164e+23,-0.0
735.7357,0.9789923773,723004090629.8269,4.4308413753886985e+23,-0.0
736.7367,0.9789806585,725816565081.297,4.466305240324093e+23,-0.0
737.7377,0.9789689539,728636116592.6598,4.5020057575389794e+23,-0.0
738.7387,0.9789572634,731462753407.8809,4.537944196744256e+23,-0.0
739.7397,0.9789455869,734296483688.306,4.57412183281716e+23,-0.0
740.7407,0.9789339246,737137315654.1378,4.6105399458691526e+23,-0.0
741.7417,0.9789222762,739985257498.1151,4.6471998212273565e+23,-0.0
742.7427,0.9789106418,742840317413.3763,4.684102749461181e+23,-0.0
743.7437,0.9788990214,745702503608.5345,4.7212500264025634e+23,-0.0
744.7447,0.9788874149,748571824266.8243,4.7586429531450936e+23,-0.0
745.7457,0.9788758223,751448287570.7802,4.7962828360694555e+23,-0.0
746.7467,0.9788642435,754331901802.6809,4.8341709868980225e+23,-0.0
747.7477,0.9788526785,757222675091.1632,4.8723087226059985e+23,-0.0
748.7487,0.9788411273,760120615568.948,4.9106973655077484e+23,-0.0
749.7497,0.9788295899,763025731527.4501,4.9493382433254665e+23,-0.0
750.7508,0.9788180662,765938031128.9374,4.988232689092033e+23,-0.0
751.7518,0.9788065562,768857522583.0359,5.027382041238664e+23,-0.0
752.7528,0.9787950598,771784214038.6846,5.066787643563238e+23,-0.0
753.7538,0.978783577,774718113672.59,5.106450845286852e+23,-0.0
754.7548,0.9787721079,777659229744.9364,5.146373001085325e+23,-0.0
755.7558,0.9787606523,780607570400.9436,5.186555471027458e+23,-0.0
756.7568,0.9787492102,783563143826.8213,5.2269996206543936e+23,-0.0
757.7578,0.9787377816,786525958201.552,5.267706820973193e+23,-0.0
758.7588,0.9787263665,789496021734.1915,5.308678448490104e+23,-0.0
759.7598,0.9787149648,792473342597.4078,5.34991588519506e+23,-0.0
760.7608,0.9787035765,795457928913.817,5.391420518576384e+23,-0.0
761.7618,0.9786922016,798449788978.0715,5.4331937417249735e+23,-0.0
762.7628,0.97868084,801448930950.2281,5.475236953219899e+23,-0.0
763.7638,0.9786694918,804455362920.7375,5.517551557178747e+23,-0.0
764.7648,0.9786581568,807469093147.0876,5.560138963366002e+23,-0.0
765.7658,0.978646835,810490129804.8113,5.6030005871046396e+23,-0.0
766.7668,0.9786355265,813518481048.8496,5.646137849320757e+23,-0.0
767.7678,0.9786242311,816554155051.9911,5.6895521765724674e+23,-0.0
768.7688,0.9786129489,819597160006.0258,5.733245001068377e+23,-0.0
769.7698,0.9786016798,822647504075.9722,5.7772177606610987e+23,-0.0
770.7708,0.9785904238,825705195454.032,5.821471898889684e+23,-0.0
771.7718,0.9785791809,828770242321.0869,5.8660088649742064e+23,-0.0
772.7728,0.978567951,831842652804.6475,5.910830113819007e+23,-0.0
773.7738,0.9785567341,834922435137.3094,5.955937106092551e+23,-0.0
774.7748,0.9785455302,838009597466.4902,6.0013313081616494e+23,-0.0
775.7758,0.9785343392,841104147937.5436,6.047014192146661e+23,-0.0
776.7768,0.9785231611,844206094717.4568,6.092987235943563e+23,-0.0
777.7778,0.9785119959,847315446024.0469,6.139251923255771e+23,-0.0
778.7788,0.9785008435,850432210015.886,6.185809743557623e+23,-0.0
779.7798,0.978489704,853556394826.3597,6.232662192132294e+23,-0.0
780.7808,0.9784785773,856688008661.1372,6.279810770123559e+23,-0.0
781.7818,0.9784674633,859827059644.7373,6.327256984489053e+23,-0.0
782.7828,0.9784563621,862973555984.4027,6.375002348086991e+23,-0.0
783.7838,0.9784452736,866127505816.8805,6.42304837962284e+23,-0.0
784.7848,0.9784341978,869288917282.4498,6.471396603703217e+23,-0.0
785.7858,0.9784231346,872457798633.0366,6.520048550893746e+23,-0.0
786.7868,0.978412084,875634157971.2728,6.569005757622245e+23,-0.0
787.7878,0.978401046,878818003432.5637,6.618269766279187e+23,-0.0
788.7888,0.9783900206,882009343221.7522,6.667842125244392e+23,-0.0
789.7898,0.9783790077,885208185463.6095,6.71772438884047e+23,-0.0
790.7908,0.9783680073,888414538342.0027,6.767918117410691e+23,-0.0
791.7918,0.9783570194,891628410047.721,6.818424877309877e+23,-0.0
792.7928,0.978346044,894849808699.0349,6.869246240887484e+23,-0.0
793.7938,0.978335081,898078742439.713,6.920383786548262e+23,-0.0
794.7948,0.9783241303,901315219456.4231,6.971839098774809e+23,-0.0
795.7958,0.978313192,904559247910.4692,7.0236137681136e+23,-0.0
796.7968,0.9783022661,907810835900.5408,7.075709391175427e+23,-0.0
797.7978,0.9782913525,911069991583.5809,7.128127570707939e+23,-0.0
798.7988,0.9782804512,914336723230.463,7.180869915633399e+23,-0.0
799.7998,0.9782695621,917611038956.9487,7.233938040943297e+23,-0.0
800.8008,0.9782586852,920892946789.8977,7.28733356775123e+23,-0.0
801.8018,0.9782478206,924182454898.192,7.341058123410976e+23,-0.0
802.8028,0.9782369681,927479571576.8998,7.39511334152387e+23,-0.0
803.8038,0.9782261278,930784304987.8693,7.449500861834939e+23,-0.0
804.8048,0.9782152995,934096663076.651,7.504222330218869e+23,-0.0
805.8058,0.9782044834,937416654042.0604,7.559279398912448e+23,-0.0
806.8068,0.9781936794,940744286221.57,7.614673726468122e+23,-0.0
807.8078,0.9781828874,944079567640.4938,7.670406977569188e+23,-0.0
808.8088,0.9781721073,947422506361.151,7.726480823213979e+23,-0.0
809.8098,0.9781613393,950773110623.7246,7.782896940789108e+23,-0.0
810.8108,0.9781505833,954131388605.5378,7.83965701397693e+23,-0.0
811.8118,0.9781398391,957497348375.2533,7.896762732751935e+23,-0.0
812.8128,0.9781291069,960870998077.9563,7.95421579348691e+23,-0.0
813.8138,0.9781183866,964252345950.0579,8.012017898970497e+23,-0.0
814.8148,0.9781076781,967641400015.2162,8.070170758285066e+23,-0.0
815.8158,0.9780969814,971038168474.7296,8.128676087012147e+23,-0.0
816.8168,0.9780862966,974442659549.1665,8.187535607161825e+23,-0.0
817.8178,0.9780756235,977854881191.9425,8.246751047068197e+23,-0.0
818.8188,0.9780649622,981274841661.6855,8.306324141673705e+23,-0.0
819.8198,0.9780543126,984702549137.2236,8.366256632353981e+23,-0.0
820.8208,0.9780436747,988138011665.4283,8.426550266924999e+23,-0.0
821.8218,0.9780330484,991581237421.997,8.487206799774001e+23,-0.0
822.8228,0.9780224338,995032234543.4026,8.548227991801291e+23,-0.0
823.8238,0.9780118309,998491011170.618,8.609615610455822e+23,-0.0
824.8248,0.9780012395,1001957575438.9823,8.671371429749723e+23,-0.0
825.8258,0.9779906597,1005431935514.8125,8.733497230291224e+23,-0.0
826.8268,0.9779800915,1008914099449.1206,8.795994799232449e+23,-0.0
827.8278,0.9779695348,1012404075403.7816,8.858865930399497e+23,-0.0
